1050564115 function calls (1050563297 primitive calls) in 3148.538 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 {_hashlib.openssl_sha512}
        9    0.000    0.000    0.000    0.000 {_sre.compile}
       12    0.000    0.000    0.000    0.000 {_sre.getlower}
       26    0.000    0.000    0.000    0.000 {_struct.calcsize}
        8    0.000    0.000    0.000    0.000 {_struct.pack}
        8    0.000    0.000    0.000    0.000 {_struct.unpack}
 24691348    4.722    0.000    4.722    0.000 {abs}
   269564    6.314    0.000   56.101    0.000 {all}
        6    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x449f43e0}
      117    0.000    0.000    0.000    0.000 {built-in method match}
        2    0.000    0.000    0.000    0.000 {dir}
       16    0.000    0.000    0.000    0.000 {fcntl.fcntl}
        8    0.000    0.000    0.000    0.000 {gc.disable}
        8    0.000    0.000    0.000    0.000 {gc.enable}
        8    0.000    0.000    0.000    0.000 {gc.isenabled}
       91    0.000    0.000    0.000    0.000 {getattr}
        7    0.000    0.000    0.000    0.000 {globals}
        9    0.000    0.000    0.000    0.000 {hasattr}
     3163    0.002    0.000    0.002    0.000 {isinstance}
        1    0.000    0.000    0.000    0.000 {issubclass}
260547259/260547109   50.397    0.000   50.397    0.000 {len}
        6    0.000    0.000    0.000    0.000 {locals}
       15    0.000    0.000    0.017    0.001 {map}
   351551    1.611    0.000    1.611    0.000 {max}
       30    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        3    0.000    0.000    0.000    0.000 {method 'acquire' of 'thread.lock' objects}
233397001   51.519    0.000   51.519    0.000 {method 'add' of 'set' objects}
  1577057    0.420    0.000    0.420    0.000 {method 'append' of 'list' objects}
   485268    0.140    0.000    0.140    0.000 {method 'buffer_info' of 'array.array' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
      101    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
